Tren / Recorrido;Salida;Llegada;Duración;Sentido
04475 AVE;08.19;09.32;1 h. 13 min.;Galicia
04505 AVE;09.57;11.08;1 h. 11 min.;Galicia
04325 ALVIA;13.13;14.40;1 h. 27 min.;Galicia
04345 AVE;14.33;15.43;1 h. 10 min.;Galicia
04565 AVE;15.25;16.36;1 h. 11 min.;Galicia
04375 AVE;17.03;18.17;1 h. 14 min.;Galicia
04975 AVLO;17.59;19.16;1 h. 17 min.;Galicia
04395 AVE;19.10;20.20;1 h. 10 min.;Galicia
04405 AVLO;20.16;21.26;1 h. 10 min.;Galicia
