Tren / Recorrido;Salida;Llegada;Duración;Sentido
04154 AVLO;07.41;08.56;1 h. 15 min.;Madrid
04114 ALVIA;08.39;10.20;1 h. 41 min.;Madrid
04364 AVE;09.38;10.52;1 h. 14 min.;Madrid
04494 AVLO;12.56;14.15;1 h. 19 min.;Madrid
04314 AVE;13.43;14.57;1 h. 14 min.;Madrid
04254 AVE;16.30;17.44;1 h. 14 min.;Madrid
05382 AVE;17.36;18.47;1 h. 11 min.;Madrid
04334 AVLO;18.33;19.58;1 h. 25 min.;Madrid
04384 AVE;20.11;21.27;1 h. 16 min.;Madrid
04404 AVE;22.00;23.14;1 h. 14 min.;Madrid
