Tren / Recorrido;Salida;Llegada;Duración;Sentido
04154;07.41;08.56;1 h. 15 min.;Madrid
04114;08.39;10.20;1 h. 41 min.;Madrid
04364;09.38;10.52;1 h. 14 min.;Madrid
04494;12.56;14.15;1 h. 19 min.;Madrid
04314;13.43;14.57;1 h. 14 min.;Madrid
04254;16.30;17.44;1 h. 14 min.;Madrid
05382;17.36;18.47;1 h. 11 min.;Madrid
04334;18.33;19.58;1 h. 25 min.;Madrid
04384;20.11;21.27;1 h. 16 min.;Madrid
04404;22.00;23.14;1 h. 14 min.;Madrid
